Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied
39,1671,4,4,3,37,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
64,223,4,4,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
64,667,3,5,3,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
66,221,5,5,3,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
53,2366,4,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,1050,3,3,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,2790,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
29,119,3,2,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
56,2290,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
27,590,4,4,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
53,3935,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,1981,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
25,130,1,3,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,950,5,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
59,577,2,2,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
21,1428,5,4,5,0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55,3437,4,4,5,5,41.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,920,2,2,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43,2419,4,5,5,146,124.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8,862,3,5,3,0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45,354,5,5,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
51,589,5,5,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,337,5,3,5,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,667,4,4,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24,456,2,3,2,119,116.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,1416,1,3,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
16,1066,5,5,5,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47,116,1,3,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
19,3870,4,4,4,161,142.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
64,129,4,4,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,2696,1,1,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,867,2,2,2,15,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
57,984,4,4,4,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
57,918,4,4,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
26,187,1,4,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
28,746,5,5,5,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
26,584,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
49,1431,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
64,481,4,1,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,502,3,3,5,36,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,1587,3,5,3,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,503,5,4,5,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51,3179,5,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
29,2334,5,2,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
57,3543,4,4,3,6,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,301,3,4,3,3,36.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
23,1045,5,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
66,2556,4,4,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
35,362,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,109,3,1,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,495,3,3,3,0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
49,531,3,2,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
45,2243,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1488,3,5,3,28,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
49,2854,5,5,3,33,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,525,4,2,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
26,543,4,4,4,37,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,602,4,5,4,41,44.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
12,1400,2,5,2,30,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
11,236,1,1,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
58,328,5,5,5,0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
57,3370,4,4,5,18,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
27,2026,4,4,4,0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,213,5,5,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
70,3080,1,1,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42,198,4,4,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
55,2263,5,5,5,0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
51,1389,1,1,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
67,2116,2,2,2,0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
39,524,3,2,3,16,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36,583,3,5,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,2601,4,4,5,12,23.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,1437,2,4,2,51,38.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
23,2166,5,5,5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
52,1662,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,1389,2,2,3,18,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,1558,5,3,5,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
38,222,4,3,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
41,1905,5,5,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,965,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
33,2419,4,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
10,1372,5,4,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
45,150,4,4,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
65,930,1,4,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
32,1371,4,4,4,20,44.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
50,3638,4,4,4,39,40.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
45,306,2,2,5,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
50,591,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,3902,5,5,3,55,53.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41,789,2,2,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,834,4,5,4,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40,780,1,5,1,0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
25,631,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
55,347,5,4,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
44,533,2,2,3,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
41,722,3,1,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
52,2237,4,4,5,15,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
37,1874,4,4,4,20,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
42,600,2,2,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,304,3,2,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
56,1737,1,5,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
51,576,2,3,2,2,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
33,2674,2,2,1,52,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,447,1,5,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
67,372,3,3,3,13,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,1813,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,1912,4,4,5,84,67.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41,73,3,4,3,4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
49,1440,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
53,1012,5,5,4,175,174.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56,2845,3,4,4,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
65,707,4,4,3,0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
43,1759,5,5,5,106,110.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,204,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
42,417,3,3,4,7,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
55,1217,1,3,3,127,145.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
77,387,3,3,1,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,89,4,5,4,59,59.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
60,515,4,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
47,1166,4,4,5,20,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,1671,5,5,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
39,1878,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
52,3999,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
58,347,5,5,5,2,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
58,127,4,3,4,40,36.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
41,331,5,5,3,53,50.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,526,1,1,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
39,2475,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
50,2938,4,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32,1904,2,3,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38,693,5,4,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
60,759,2,4,2,29,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
62,148,1,3,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
53,524,3,3,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,228,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,1547,5,4,5,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
30,2253,5,3,5,40,42.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
49,1211,5,5,4,138,142.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
53,2339,3,3,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
12,1464,3,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46,1815,4,4,4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
39,1428,3,1,3,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,402,4,4,3,222,208.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
35,762,5,5,3,12,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,2504,4,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56,3294,4,4,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,3248,5,5,5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,600,1,3,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,2034,5,5,3,9,19.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32,1129,1,3,1,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
25,409,1,4,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
40,946,3,2,3,62,63.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,1748,3,3,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,2402,1,4,1,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,1197,2,5,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,1242,3,3,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
76,390,5,5,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,2475,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
37,285,5,5,3,44,44.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56,304,3,3,1,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
50,3728,4,4,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,304,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
8,2497,2,3,2,0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,1979,4,4,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
65,2282,4,4,5,0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49,867,4,4,3,5,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41,581,5,5,5,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
39,1554,2,2,3,78,93.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,3580,5,5,4,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,1590,1,1,5,16,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,488,4,4,4,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,647,2,5,2,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,2392,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
53,777,2,3,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,2475,4,4,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
54,562,4,4,5,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
48,201,4,5,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
69,1389,3,3,5,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
17,3554,4,4,4,2,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,460,2,2,2,30,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
27,134,5,4,5,0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26,679,5,4,5,0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
29,191,5,2,5,15,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
56,3074,5,2,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
18,241,5,5,5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
56,236,4,4,5,57,52.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,546,3,3,3,13,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,606,4,4,4,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,926,5,5,4,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
31,468,3,5,3,0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
44,2069,2,2,5,5,47.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
45,545,4,3,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
60,2605,4,4,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
47,2306,3,3,1,9,41.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
55,1444,1,1,3,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,1136,5,5,5,5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
44,315,4,2,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
